is_hr,launch_angle,launch_speed,bat_speed,swing_length,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,26,76.2,71.1,6.6,-0.4,2.68,2,1,1,0,0
0,0,76.7,76.9,7.9,0.69,2.27,2,2,2,0,0
0,-25,65.9,73.1,8.2,-1.25,2.48,1,1,0,1,0
0,0,90.9,64.1,6.3,-0.31,1.22,1,0,2,1,0
0,30,96.2,70.2,7.6,0.4,2.64,1,2,2,0,0
0,21,98.4,65.8,6,-0.32,2.7,1,0,2,0,0
0,31,80.9,74.7,8.1,-0.06,2.52,9,0,0,1,1
0,-6,83,73.5,8.9,0.86,1.91,9,0,1,0,1
1,31,102.2,73.3,7.2,0.15,2.58,9,1,0,1,1
0,32,76.3,61.3,7.9,0.41,1.23,9,0,1,0,1
0,-8,100.2,74.5,7.9,0.17,1.95,9,3,1,1,1
0,20,84.1,61.4,5.7,-0.71,3.27,9,0,2,0,1
0,3,95.4,69.2,6.4,0,2.72,9,1,0,0,1
0,11,103.7,80.5,7.4,0.63,2.78,9,1,0,1,1
0,-9,90,71.7,7.4,-0.56,2.45,9,0,0,1,0
0,53,84.1,75.6,6.6,0.24,3.53,9,1,1,0,0
0,14,97.8,72.4,7.1,0.08,1.81,9,0,2,1,0
0,64,73.5,72.4,7.7,-0.2,2.19,8,1,1,0,0
0,18,92,72.8,7.2,0.36,2.48,8,2,1,1,0
0,30,103,75,8.2,-0.01,2.4,8,1,0,0,0
0,31,97.8,74.8,7.1,0.15,2.87,8,0,0,1,0
0,10,87.6,69,6.9,-0.55,2.47,8,3,2,0,0
0,34,91,68.6,6.8,-0.33,2.53,7,0,2,1,1
0,8,90.2,69,5.9,-0.63,2.8,7,1,2,0,1
0,10,102.8,73.6,7.3,-0.06,1.8,7,2,1,1,1
0,31,96.9,73,7.1,-0.68,2.75,6,1,1,0,0
0,13,108.1,79.8,7.7,0.42,1.92,6,1,0,1,0
0,24,82.5,66.2,7.2,0.15,3.62,6,1,0,0,0
0,15,104.1,72.8,7.8,-0.13,1.91,6,1,2,1,0
0,52,89.7,68.9,6.2,-0.79,3,6,1,1,0,0
1,18,110.3,76.4,7.9,-0.58,2.53,6,1,0,0,0
0,11,102.3,66,6,-0.06,3.62,6,0,0,1,0
0,-6,105.1,80.8,7.6,-0.28,2.16,6,0,1,0,0
0,1,74.3,70,5.9,-0.72,2.76,6,0,1,0,0
0,59,97.3,75,7.9,-0.04,2.48,6,1,1,1,0
0,13,105.2,78.1,7,-0.35,2.25,6,0,1,0,0
0,-55,42.8,14.5,7,0.63,1.59,6,2,2,0,0
0,52,88.5,72.1,8.7,0.71,2.22,5,0,0,0,0
0,-21,91,76,7.2,0.15,2.18,5,2,1,1,0
0,52,84.7,68.1,7.8,0.15,2.57,5,3,2,0,0
0,27,89.8,70.7,7,0.66,2.51,5,1,1,0,0
0,38,94,74.5,6.8,-0.64,3.14,5,0,1,0,0
0,5,108.1,73.2,6.9,0.1,2.24,5,2,2,1,0
0,22,88.6,74.8,7.4,0.04,1.98,4,0,1,1,0
1,24,102.4,76,6.9,0.29,2.96,4,1,0,0,0
0,78,47.9,72.9,7.1,-1.16,3.38,4,0,2,0,0
0,-22,88,73.3,6.6,-0.39,3.12,4,1,0,0,0
0,20,71.6,71.5,6.9,0.15,2.58,4,2,2,1,0
0,16,109.5,79.3,7.3,-0.59,2.51,4,1,0,0,1
0,63,76.7,73.9,7.2,0.44,2.78,4,0,1,1,1
0,15,92.3,61.9,5.9,-0.84,3.51,4,2,2,0,1
0,-11,107.5,74.9,6.8,-0.29,2.49,4,0,1,0,1
0,-30,40.1,11.9,2.3,-0.19,1.88,4,0,0,0,1
0,29,78.4,54.5,7.6,-1.19,2.73,4,1,2,1,1
0,57,70.2,70.6,7.6,0.9,1.75,3,3,2,1,0
0,47,90.1,73.4,7.6,1.03,2.66,3,0,2,0,0
0,-21,89.7,62.8,5.1,-0.58,3.06,3,0,2,0,1
0,0,99.7,67.9,6.4,0.11,2.51,3,0,1,1,1
0,26,100.4,75,7.1,0.18,2.22,2,0,1,1,0
0,33,79.9,67.2,7.8,-0.43,1.61,2,2,1,0,0
0,9,107.4,77.5,7.3,-0.2,2.42,2,0,0,0,1
0,14,99.9,74.6,7.9,-0.96,1.85,2,2,1,0,1
0,18,83.8,76.9,7.1,0.59,1.96,1,1,1,1,0
0,-2,100.6,67.4,6.7,0.42,2.78,1,1,2,0,0
0,29,90.8,63.4,6,0.15,3.28,1,1,2,1,0
0,-10,102.5,70.3,6.6,0.03,2.19,1,0,0,0,1
0,-28,102.7,69,7.2,-0.16,2.33,1,0,0,1,1
0,18,88.6,75.1,7.3,0.71,2.23,1,0,0,1,1
0,17,75.9,71.7,6.8,-0.95,2.57,1,1,0,0,1
0,10,87.9,70.6,6.8,-0.62,2.19,9,0,1,0,0
0,17,73,72.7,7.9,-1.22,2.86,9,0,0,1,0
1,30,105.7,74.8,7.1,0.24,2.82,9,0,1,0,0
0,38,80.7,54.7,6.9,0.31,2.06,9,0,2,0,0
0,27,81.4,68.9,6.9,0.48,3.01,8,1,0,0,0
0,3,101.6,79.8,7.7,0.21,2.79,8,3,1,0,0
0,21,96.4,70.5,8.1,-0.1,1.58,8,2,2,0,0
0,-61,56.7,72.2,8.6,0.03,1.37,8,1,0,0,0
0,42,88.7,79.9,7.1,-0.04,3.47,7,0,1,1,0
0,-47,70.1,75.1,6.8,-0.64,2.04,7,2,2,0,0
0,34,82.8,79.6,8.2,0.44,2.89,7,1,0,0,0
0,-18,93.9,62.9,5.4,-0.11,2.42,7,2,1,0,1
0,9,99.6,71,6.4,-0.06,2.41,7,3,2,1,1
0,-5,77.3,73.8,7.6,-0.52,2.5,6,0,0,0,0
0,34,70.7,64.3,6.9,-0.92,2.15,6,2,2,1,0
0,-12,85.8,66.8,6.2,0.88,2.23,6,1,1,1,0
0,17,95.2,69.1,7.8,-0.03,1.92,6,1,0,0,0
0,-5,72.5,52.1,8.4,0.91,2.36,6,1,1,0,1
0,-3,101,67,6.3,-0.33,2.14,6,0,1,0,1
0,60,81.1,69.6,7.1,-0.12,2.99,6,1,1,0,1
1,25,108.7,77.5,7.6,0.44,2.63,5,0,0,0,0
0,-22,109.7,75.9,7.9,0,1.76,5,0,1,1,0
0,37,106.4,77.9,7.5,0.55,2.9,5,2,2,0,0
0,28,104.4,73.2,7.6,-0.38,2.03,5,1,2,0,1
0,32,73.1,70.2,8,-0.59,2.48,5,1,2,1,1
0,-5,96.2,72.8,7,-0.54,2.69,4,0,0,0,0
0,3,98.2,69.2,6.7,-0.06,2.73,4,1,1,0,0
0,-14,85,75.7,7.6,0.57,1.98,4,0,1,0,1
0,-47,67,59.8,5.7,-0.14,2.62,4,1,0,0,1
0,3,90.7,71.5,6.5,0.87,2.66,3,0,0,1,0
0,4,92.5,67.1,7.2,0.39,3.18,3,1,1,0,0
0,29,102,74.3,8.1,-0.5,1.99,3,2,0,1,0
1,28,107,78.3,8,0.05,1.95,3,0,0,0,0
0,-10,92.3,74.9,7.5,-0.56,2.81,3,3,2,0,1
0,-4,93.8,63.1,7.7,1.22,1.88,3,2,2,0,1
0,11,76.1,80.3,7.6,0.72,2.4,2,0,1,1,0
0,-3,112.5,77,7.4,0.42,1.9,2,2,1,0,0
0,5,78.2,67.5,6.4,-0.11,3.01,2,2,2,0,0
0,4,75.1,81,6.7,-0.3,2.48,2,1,0,0,1
0,56,88.2,68.4,6.8,0.69,2.9,2,2,1,1,1
0,14,95.5,73.1,7.3,0.34,1.99,2,0,2,0,1
0,9,96.1,63.1,5.4,-0.39,2.84,2,0,1,0,1
0,4,82.4,71.4,7.5,0.25,1.92,2,2,2,1,1
1,34,106.5,77,9,-0.52,2.28,2,0,0,0,0
0,58,74.8,70.4,6.9,0.87,2.4,2,1,1,0,0
0,39,83.1,68.6,6.2,0.91,2.88,1,0,2,1,0
0,-14,83.2,60.9,6.6,-0.96,2.78,1,1,2,1,0
0,-23,51.6,65.8,7.8,1.28,2.66,1,1,2,0,0
1,25,109.4,82,7.6,0.22,2.34,1,2,1,1,0
0,5,106.7,76.1,7.4,0.28,1.72,1,2,1,0,0
0,-19,78.3,72.7,8,0.9,2.08,1,1,0,0,0
0,-24,96.8,70.3,7.4,0.64,1.88,1,0,2,0,0
1,31,104.3,87,7.7,-0.49,3.38,1,1,2,1,0
0,24,73.7,72.9,7.7,0.41,2.13,1,2,0,0,0
0,1,83.8,61.1,6.5,1.3,1.58,1,1,2,0,0
0,50,87.1,70.3,7.7,0.39,2.84,9,2,0,0,0
0,-12,90.3,62.6,7.8,0.16,2.16,9,0,2,0,0
0,13,93.9,75.6,8,0.21,1.51,9,2,2,1,0
0,-25,69.2,64,7.9,0.99,1.28,8,1,2,0,0
0,10,106.4,71,6.8,-0.06,2.34,8,0,2,0,0
1,30,97.9,66.3,7.5,-0.27,2.87,8,0,2,1,0
0,-11,81,67.8,7.7,0.84,2.29,8,0,1,0,0
0,-11,59,73.8,6.4,0.63,2.72,8,1,0,1,0
0,11,97.5,77.3,7.3,-0.04,2.88,7,3,2,1,0
0,-3,102.7,76.8,7.1,0.04,2.55,7,3,1,0,0
0,-65,57,70,8.3,0.35,1.68,7,0,1,0,0
0,-1,84.7,73.6,7.2,0.45,3.25,7,0,1,0,0
0,8,111.1,78.8,7.4,-0.39,2.14,7,2,0,0,0
0,-16,89.9,76.7,6.9,-0.16,2.39,6,0,0,1,1
0,-30,80,77.9,8.1,-0.5,2.39,6,0,0,1,0
0,49,94.2,66.3,6.5,0.06,2.92,6,1,1,0,0
0,-20,86.2,68.3,7.8,-0.4,2.13,5,1,0,1,1
0,0,93.8,72.5,7.5,-0.63,2.03,5,0,1,1,1
0,49,99.7,72.4,7.5,-0.02,2.67,5,0,0,1,1
0,-34,96.8,80.4,7,-0.22,2.3,5,2,1,1,0
0,7,58.1,67.7,6.9,-1.11,2.1,5,1,2,0,0
0,57,67.9,68.6,7.8,1.09,2.23,4,2,1,0,0
1,31,109.5,79.4,7,0.02,2.73,4,0,0,1,0
1,23,109.6,73,7.2,0.02,2.67,4,1,1,1,0
0,7,97.1,70.1,7.5,0.31,2.14,4,3,2,1,0
0,6,105.2,80.8,7.4,0.22,2.13,4,0,0,0,0
0,4,96.4,67,6.6,0.03,3.53,4,0,0,1,0
0,36,83.9,70.7,6.7,0.49,2.62,4,1,1,1,0
0,44,86.9,61.2,7.4,0.72,2.64,4,1,2,0,0
0,31,99,75.5,7.9,-0.01,2.6,4,1,0,0,0
0,-27,93.6,65.1,7,0.61,1.7,3,2,2,0,0
0,-2,100.3,71.6,7.6,-0.24,1.85,3,0,1,1,0
0,11,82.1,77.3,6.9,0.61,2.87,3,0,0,1,0
0,3,105.6,78.3,7,-0.51,2.69,3,0,2,0,0
0,46,71.6,74.2,7.4,-0.67,3.1,3,2,0,0,0
0,75,78.7,74.7,7.7,0.22,2.16,3,0,0,1,0
0,-40,55.7,64.4,7.4,1.17,2.79,3,1,1,0,0
0,73,91.8,79.3,7.3,0.17,2.62,2,2,1,1,0
0,-14,91,70.5,6.5,0.54,2.12,2,3,2,1,0
0,-3,78,75.9,7.1,-0.48,1.92,2,3,2,0,0
0,-2,79.2,62,5.8,-0.4,3.51,1,0,1,1,0
0,18,101.1,68.2,6.6,0.35,3.09,1,0,0,0,0
0,8,81.4,71.9,6.5,0.55,2.64,1,2,0,1,0
0,27,104.1,74.6,8,-0.59,2.34,1,1,1,1,0
0,12,106.2,72.2,7.3,-0.74,2.81,1,1,1,1,0
0,5,103.9,71.3,7.3,-0.43,2.16,1,1,1,1,0
1,30,103.7,73,7.9,0.03,1.68,1,3,2,0,0
0,30,97.6,65.6,6.3,-0.58,3.13,8,0,0,1,0
0,45,90.6,70.4,7.6,-0.31,2.34,8,2,1,1,0
0,-17,69.5,66.2,7.1,0.24,2.77,8,1,1,0,0
0,29,89.4,71.1,7.3,0.73,3.01,8,0,0,0,0
0,-4,85.2,61.1,6.7,-0.8,2.08,7,2,2,1,0
0,67,83.4,67.8,7,-0.05,3.04,7,0,2,1,0
0,81,91.2,74.4,7.2,-0.93,2.99,7,3,2,0,0
0,36,80.1,57.4,7.8,0.69,1.85,7,0,2,0,1
0,32,89.7,62,6.8,-0.93,2.52,7,2,2,1,1
0,20,105.5,73.3,7.3,-0.67,1.91,7,0,1,0,0
0,20,81.6,70.7,8.2,-0.48,1.89,7,1,1,1,0
0,41,76.3,73.7,8.1,-0.48,1.65,7,1,2,0,0
0,53,90.1,71.8,7.5,-0.18,2.73,6,1,1,0,0
0,1,98.7,66.9,7.3,-1.18,2.08,6,0,2,1,0
0,-24,93.7,72.1,7.2,-0.95,2.84,6,1,2,1,0
0,-18,99.3,71.8,7.1,-0.6,1.95,6,0,0,0,0
0,49,91.4,79.2,7.6,-0.3,2.2,6,2,1,1,0
0,1,108.4,74,6.9,0.27,1.63,5,0,1,1,0
0,-40,51.4,71.4,7.4,-0.57,1.41,5,1,0,1,0
1,32,100.8,76.6,7.5,0.14,2.94,5,1,2,0,0
0,21,76.8,61.8,5.7,0.13,3.19,5,1,1,1,0
0,19,94.5,68.6,6.9,-0.34,2.29,5,0,1,1,0
0,17,95.5,64.2,7.9,-1,1.64,5,3,2,1,0
0,42,87.6,65.6,7.8,0.73,2.42,5,2,2,0,0
0,5,72.1,72,8.6,-0.01,2.15,5,1,1,1,0
0,-10,93.8,70.4,6.7,0.08,2.77,5,1,1,0,0
0,9,100.5,76.4,7,0.61,2.55,4,3,2,0,0
0,23,107.7,76.8,7.7,-0.31,2.25,4,0,0,1,0
0,10,71.6,72.2,7.7,0.81,2.21,4,0,0,0,0
0,17,85.6,65.4,7.1,-1.02,2.74,4,2,0,1,0
0,-1,90.6,77.1,7.3,0.22,1.87,4,0,0,1,0
0,-16,93,71.3,6.3,0.36,2.2,3,0,0,1,0
0,27,103.4,72.6,7.4,0.31,1.68,3,2,1,1,0
0,-24,85.7,71.3,6.6,-0.43,2.31,3,0,0,1,0
0,3,52.5,62.5,6.4,-1.11,2.15,3,3,2,0,0
0,11,95.9,72.4,7,-0.12,2.56,3,3,2,1,0
0,-23,71,69.9,7.8,0.56,2.08,3,1,1,0,0
0,13,84.4,72.6,6.5,-0.87,2.74,2,1,1,1,0
0,21,93.5,79.7,6.3,-0.3,2.15,2,2,0,0,0
0,26,93.1,72.8,7.9,0.49,1.76,2,1,1,0,0
0,12,101.7,73,7.5,-0.69,2.94,2,2,0,1,0
0,13,71.3,71.5,8.1,-0.68,1.55,2,2,2,1,0
0,8,102,72.1,7.3,-0.03,1.93,1,1,2,1,0
0,14,58.1,68.4,6.6,1,2.58,1,1,1,1,0
0,-24,104.1,72.9,6.9,-0.05,1.95,1,2,1,1,0
1,25,108.8,71.5,7.4,0.28,2.69,1,1,1,1,0
0,59,65.1,66.5,8.3,1.06,1.92,1,0,0,0,0
0,30,103.6,69.9,7,-0.77,2.94,1,0,1,1,0
0,28,88.1,62.8,8,0.41,1.24,9,0,0,0,0
0,1,67.9,65.2,6.2,-0.26,3.35,9,0,0,1,0
0,2,96.8,80.3,7.9,-0.02,1.77,9,1,1,0,0
0,30,86.2,71.3,6.8,-0.56,2.46,9,1,0,1,0
0,0,96.9,72.6,8,0.43,3.46,8,0,0,0,0
0,57,88.3,71.5,6.8,-0.69,3.08,8,2,0,1,0
0,14,105.7,74.4,7.5,-0.04,2.69,8,0,0,0,0
0,9,95.7,64.2,6.7,0.61,3.51,8,2,1,0,0
1,32,104.2,75,8,-0.08,2.26,8,0,0,1,0
0,6,89.8,67.3,6,0.06,3.02,8,0,2,1,0
0,-10,95,66.9,6.4,-0.36,3.33,8,1,2,1,0
0,22,85.9,68.5,7.4,-0.89,2.91,8,2,2,1,0
1,35,107.9,83.1,8.7,0.23,2.25,8,0,0,0,0
0,64,102.2,79.3,7.5,0.33,2.37,7,0,0,1,0
1,24,103.8,76.7,7.4,0.04,3.28,7,3,2,0,0
0,21,99.9,81.2,6.9,-0.8,2.39,7,1,1,1,0
0,-10,84.6,70.5,7.7,0.31,2.69,7,2,1,1,1
0,-4,101.6,66.9,7.2,-0.41,1.94,6,3,2,0,0
0,12,101,71,8.3,-0.12,1.54,6,0,2,0,0
